T E X A S  E D U C A T I O N  A G E N C Y

District Level Transfer Report

PEIMS Student Transfers Report

"YEAR","REPORT_REGION","REPORT_REGION_NAME_PROP","REPORT_DISTNAME_NUMBER_PROPCASE","REPORT_CHARTER_STATUS","REPORT_NUMBER","REPORT_TYPE","LINE_GROUP_NUMBER","DISTNAME_NUMBER_RES_ATTEND_PROP","TRANSFERS_IN_OUT"
"2019-2020",06,"Region VI Huntsville","Bellville ISD (008901)","Traditional ISD/CSD",100,"Transfers In From",100,"Waller ISD (237904)",-999
"2019-2020",06,"Region VI Huntsville","Bellville ISD (008901)","Traditional ISD/CSD",100,"Transfers In From",100,"Wortham ISD (081905)",-999
"2019-2020",06,"Region VI Huntsville","Bellville ISD (008901)","Traditional ISD/CSD",100,"Transfers In From",200,,
"2019-2020",06,"Region VI Huntsville","Bellville ISD (008901)","Traditional ISD/CSD",100,"Transfers In From",200,"Total Transfers In",186
"2019-2020",06,"Region VI Huntsville","Bellville ISD (008901)","Traditional ISD/CSD",100,"Transfers In From",300,,
"2019-2020",06,"Region VI Huntsville","Bellville ISD (008901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Brazos ISD (008903)",-999
"2019-2020",06,"Region VI Huntsville","Bellville ISD (008901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Brenham ISD (239901)",-999
"2019-2020",06,"Region VI Huntsville","Bellville ISD (008901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Burton ISD (239903)",-999
"2019-2020",06,"Region VI Huntsville","Bellville ISD (008901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Columbus ISD (045902)",-999
"2019-2020",06,"Region VI Huntsville","Bellville ISD (008901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Fayetteville ISD (075906)",-999
"2019-2020",06,"Region VI Huntsville","Bellville ISD (008901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Hallsville ISD (102904)",-999
"2019-2020",06,"Region VI Huntsville","Bellville ISD (008901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Hempstead ISD (237902)",-999
"2019-2020",06,"Region VI Huntsville","Bellville ISD (008901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Katy ISD (101914)",-999
"2019-2020",06,"Region VI Huntsville","Bellville ISD (008901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Lamar CISD (079901)",-999
"2019-2020",06,"Region VI Huntsville","Bellville ISD (008901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Round Top-Carmine ISD (075908)",-999
"2019-2020",06,"Region VI Huntsville","Bellville ISD (008901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Royal ISD (237905)",-999
"2019-2020",06,"Region VI Huntsville","Bellville ISD (008901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Sealy ISD (008902)",33
"2019-2020",06,"Region VI Huntsville","Bellville ISD (008901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Waller ISD (237904)",-999
"2019-2020",06,"Region VI Huntsville","Bellville ISD (008901)","Traditional ISD/CSD",200,"Transfers Out To",200,,
"2019-2020",06,"Region VI Huntsville","Bellville ISD (008901)","Traditional ISD/CSD",200,"Transfers Out To",200,"Total Transfers Out",82
"2019-2020",06,"Region VI Huntsville","Bellville ISD (008901)","Traditional ISD/CSD",200,"Transfers Out To",300,,

 -999 indicates counts or percentages are not available (i.e. masked) to comply with the Family Educational Rights and Privacy Act (FERPA).

Masked numbers are typically small although larger numbers may be masked to prevent imputation.

The REPORT_NUMBER column and the LINE_GROUP_NUMBER column are added to assist sorting and filtering of rows in the file.

