MAC,Hostname,IP4,IP6,MASK,Login,Name,Email,SSH_Private,SSH_Public,Host_Description,Installed_App,UUID
cd-2a-67-9b-43-92,laptop-89.mueller.net,168.234.95.110,fdd1:d7a6:accf:e1f5:879:c9e7:4e8e:c481,240.252.0.224,wkennedy,Sabrina Herrera,brendacruz@dixon.com,"-----BEGIN ENCRYPTED PRIVATE KEY-----
b5835be2770f353b7e1dee854be12b049a4a2677487cbcec0e66a63e233dd251
-----END ENCRYPTED PRIVATE KEY-----","-----BEGIN SSH2 PUBLIC KEY-----
873aa8fc90d9ac52c3b9159113a881b75adb2cc92e54f23a511040ae201aa96e
-----END SSH2 PUBLIC KEY-----",roberts-murray,CSCL9-FAKE,15f69cfe-13bb-4531-9859-d5d33692ac53
32-07-a1-52-7f-c5,laptop-88.martinez-hall.com,197.64.239.132,fdc6:e231:96fd:5eca:90b5:a4b0:9b9b:4806,224.224.128.255,idavis,Julie Mcdonald,msmith@brown-morales.info,"-----BEGIN ENCRYPTED PRIVATE KEY-----
9f1b2e5b4c6c170fbb51151f486922d218f3701324a6b446aa0c3156f3493b60
-----END ENCRYPTED PRIVATE KEY-----","-----BEGIN SSH2 PUBLIC KEY-----
4059cc1935400292e8355e9f4ed1a2d40ccfe4ea0d5f0f1538f0a9579f336c05
-----END SSH2 PUBLIC KEY-----",bauer,KGCG47129-FAKE,8017a434-0887-473a-85d5-4234842bc073
ef:e7:bd:5b:a1:17,desktop-25.warren.com,170.191.26.157,c6c:84d3:3ffb:4e5b:2626:6599:c998:21d8,0.252.0.128,gainesjulia,Thomas Brown,jlopez@gray-wheeler.com,"-----BEGIN ENCRYPTED PRIVATE KEY-----
aaf986020879794ff894d16696256272c515043c6968676499eceb484c07daa8
-----END ENCRYPTED PRIVATE KEY-----","-----BEGIN SSH2 PUBLIC KEY-----
da829727a1204f0fe53b8042d65dab835d71aed4335223a76dc52ad3e33c52db
-----END SSH2 PUBLIC KEY-----",hunter,LVZP2-FAKE,04d68e5d-2a26-4d79-b6ab-f9a5887b7288
21:07:f9:5b:1b:17,laptop-51.warren.info,215.208.0.232,4907:be1c:201:592c:a24b:87:eef1:a480,224.254.240.254,rfox,Harold Marquez,josephdavis@watson.net,"-----BEGIN ENCRYPTED PRIVATE KEY-----
9bcfd5e38d039d9093975acf54a9894a234c7aab4eaf8f41e775f3c9d6ae342b
-----END ENCRYPTED PRIVATE KEY-----","-----BEGIN SSH2 PUBLIC KEY-----
4976b5520c9e571366cdaceec847cf7bfee11f1bb2e556e0e4d0f741df8dea70
-----END SSH2 PUBLIC KEY-----",williams,GQ7121-FAKE,911c9bae-8054-4a2d-a07d-85a843191453
39.96.83.ec.10.5f,email-82.martin.info,191.91.145.83,cf53:b52e:7bdf:a5c6:565a:9ceb:c47a:e3f8,128.255.0.255,cameron30,Jerry Byrd,jessicatran@clark.org,"-----BEGIN ENCRYPTED PRIVATE KEY-----
34984a42e64562f6274abafb86f0145601232f2cdbc55a8a8b15dbd36626f7ff
-----END ENCRYPTED PRIVATE KEY-----","-----BEGIN SSH2 PUBLIC KEY-----
d6f6fb546d8da57e8e5777db22d07ffe6873fb4555d487ed5a25f461ca299784
-----END SSH2 PUBLIC KEY-----",west-williams,CGEU7-FAKE,8d7f8498-2c5f-4489-9885-d4618fb8bd69
14:09:ca:75:8b:e6,email-30.edwards.org,106.208.207.234,af6a:4f0d:7261:e3f4:c19:a7ee:a4a7:b322,248.254.192.192,petermiller,Diana Richardson,samuel55@powell.com,"-----BEGIN ENCRYPTED PRIVATE KEY-----
6d7b3414874ff6978e41de731471216be227c9a74dae816021b37728045b52d1
-----END ENCRYPTED PRIVATE KEY-----","-----BEGIN SSH2 PUBLIC KEY-----
7235f26093d1d98f1560bfaa991c2fca4952baefc39afd6b50fc12ca9375badd
-----END SSH2 PUBLIC KEY-----",mendoza,RE6-FAKE,0547a497-4b42-435e-8226-589f6cab85d0
1b.48.cd.9c.78.15,email-19.stevens-stokes.com,50.61.151.253,fc77:b91d:67b8:c7e6:1827:21d7:c146:60d6,0.240.192.254,alexandercherry,Jennifer Hughes,kevinoliver@miller.biz,"-----BEGIN ENCRYPTED PRIVATE KEY-----
3430193bcd4500bb0d9d7af2e69e2b69c709b40dba80b792cd85a22acc134115
-----END ENCRYPTED PRIVATE KEY-----","-----BEGIN SSH2 PUBLIC KEY-----
0d9de32a367b834223e44ecd4b09baa59f4a0543683a9e01d54ec989c4b98501
-----END SSH2 PUBLIC KEY-----",houston,YEXA2119-FAKE,5496c12a-8017-4984-a053-73bcfe9a262c
ca:03:16:e6:0a:fb,db-20.johnson-allen.com,57.174.209.149,fdc:f9:52ed:edf5:15d0:3546:224:b082,224.254.255.254,omiller,Gabriel Prince,bobby21@morrison-bailey.com,"-----BEGIN ENCRYPTED PRIVATE KEY-----
06fe05c9836f5616d304783a987298e460d9731af270b894a4c9eab6b7bf9aaa
-----END ENCRYPTED PRIVATE KEY-----","-----BEGIN SSH2 PUBLIC KEY-----
d3ae9d148aa28ebb48ec4eb4ad60f253013480dd8608657941936fb26e44311b
-----END SSH2 PUBLIC KEY-----",bender,YLZ9-FAKE,a8f8f65f-e3bd-4429-a5c4-d6b8b5d9df23
52:d2:0b:9a:37:b3,laptop-54.hernandez.com,18.143.14.102,78a4:b7ec:6023:6226:f80:ca7b:1af0:2dd6,128.254.252.192,cherylschneider,Sean Wilson,velazquezstephen@walter.com,"-----BEGIN ENCRYPTED PRIVATE KEY-----
4f9cccc419b517a53a63208c1b7a8a8acc64d344debc0ce4ac19ad6bd348f7c7
-----END ENCRYPTED PRIVATE KEY-----","-----BEGIN SSH2 PUBLIC KEY-----
316af5006d37488da1f4e20d291e09a78bdd88316a75378f2f2dab240ff8a50f
-----END SSH2 PUBLIC KEY-----",byrd-goodwin,FAC47-FAKE,d3038a92-a763-4ee2-9adc-3e7ba59e4e7c
2e:f6:07:3c:c4:1b,srv-59.brown-montoya.com,67.255.117.100,fd72:b814:ab85:17af:6914:2f9a:6527:e8cb,240.0.0.224,katherine54,Peggy Lynch,dorisrichardson@ibarra.com,"-----BEGIN ENCRYPTED PRIVATE KEY-----
61dbffd94835c7963bc3f955cb6b37fdb5334389c73516444c5cef4180216f87
-----END ENCRYPTED PRIVATE KEY-----","-----BEGIN SSH2 PUBLIC KEY-----
3b4d2cce63ef6dc8e9a78747fd8b4420fa18bbe0593143b9f83eebd84a2a9403
-----END SSH2 PUBLIC KEY-----",kramer,TM4-FAKE,e121c0ce-6946-414f-bb4e-6d8b060feed3
